Scenario,MinP,MaxP
(A1), -0.81772566, 0.11411257
(A2), -212.66785, 0.0049380595
(A3), -416.57764, 0.0054977448
(A4), -5.3019924, 3.0534215
(A5), -5.3775105, 1.7540058
(A6), -5.4434423, 1.5464035
(A7), -29.799437, 24.228134
(A8), -36.466515, 19.177698
(A9), -38.915813, 4.2025237
(B1), -0.8688038, 0.89731783
(B2), -5.3189344, 6.2380791
(B3), -28.4764, 43.156277
(C1), -11.509279, 10.066528
(C2), -15.657187, 28.708279
(C3), -17.706709, 34.336578
(C4), -20.046303, 38.524761
(C5), -12.701101, 10.211653
(C6), -15.976996, 28.651932
(C7), -18.858341, 34.469883
(C8), -20.492603, 38.940266
(C9), -21.278963, 16.694695
(C10), -26.763224, 17.074644
(C11), -28.770809, 33.370148
(C12), -30.907269, 44.558575
(C13), -9.6739836, 1.9810582
(C14), -11.509279, 11.165737
(C15), -12.287179, 15.299556
(C16), -13.625393, 21.751268
(C17), -7.9444036, 5.1454573
(C18), -9.521699, 5.4133701
(C19), -10.489148, 8.6258516
(C20), -11.509279, 13.552015
(C21), -8.4080935, 2.1954942
(C22), -9.6739836, 2.3982077
(C23), -9.0180626, 4.6884842
(C24), -10.145353, 9.7991104
(C25), -7.5262089, 3.9767885
(C26), -9.2461061, 7.8075848
(C27), -9.6739836, 2.4289253
(C28), -9.1200228, 8.2385054