"t (s)","P (Pa)","Pnorm (Pa)"
0,101065,0
10.6151,101066.13,1.13000000000466
26.921801,101065.02,0.0200000000040745
42.767799,101063.93,-1.07000000000698
67.881798,101062.2,-2.80000000000291
107.6848,101070.04,5.0399999999936
170.76781,101082.44,17.4400000000023
270.7468,101075.54,10.5399999999936
370.7468,101068.66,3.66000000000349
470.7468,101061.79,-3.2100000000064
570.74683,101054.94,-10.0599999999977
670.74683,101074.66,9.66000000000349
770.74683,101094.34,29.3399999999965
870.74683,101087.42,22.4199999999983
970.74683,101080.52,15.5200000000041
1070.7468,101073.63,8.63000000000466
1170.7468,101066.77,1.77000000000407
1270.7468,101059.91,-5.08999999999651
1370.7468,101053.08,-11.9199999999983
1470.7468,101072.85,7.85000000000582
1570.7468,101092.59,27.5899999999965
1670.7468,101085.69,20.6900000000023
1770.7468,101078.8,13.8000000000029
1870.7468,101071.93,6.92999999999302
1970.7468,101065.07,0.0700000000069849
2070.7468,101058.23,-6.77000000000407
2170.7468,101051.41,-13.5899999999965
2270.7468,101071.24,6.24000000000524
2370.7468,101091.03,26.0299999999988
2470.7468,101084.14,19.1399999999994
2570.7468,101077.27,12.2700000000041
2670.7468,101070.41,5.41000000000349
2770.7468,101063.57,-1.42999999999302
2870.7468,101056.74,-8.25999999999476
2970.7468,101076.6,11.6000000000058
3070.7468,101096.43,31.429999999993
3170.7468,101089.53,24.5299999999988
3270.7468,101082.66,17.6600000000035
3370.7468,101075.79,10.7899999999936
3470.7468,101068.95,3.94999999999709
3570.7468,101062.12,-2.88000000000466
3670.7468,101055.3,-9.69999999999709
3770.7468,101075.22,10.2200000000012
3870.7468,101095.09,30.0899999999965
3970.7468,101088.21,23.2100000000064
4070.7468,101081.34,16.3399999999965
4170.7466,101074.5,9.5
4270.7466,101067.66,2.66000000000349
4370.7466,101060.84,-4.16000000000349
4470.7466,101054.05,-10.9499999999971
4570.7466,101074.01,9.00999999999476
4670.7466,101093.94,28.9400000000023
4770.7466,101087.06,22.0599999999977
4870.7466,101080.21,15.2100000000064
4970.7466,101073.38,8.38000000000466
5070.7466,101066.55,1.55000000000291
5170.7466,101059.75,-5.25
5270.7466,101052.96,-12.0399999999936
5370.7466,101072.97,7.97000000000116
5470.7466,101092.95,27.9499999999971
5570.7466,101086.09,21.0899999999965
5670.7466,101079.25,14.25
5770.7466,101072.42,7.41999999999825
5870.7466,101065.61,0.610000000000582
5970.7466,101058.81,-6.19000000000233
6070.7466,101052.04,-12.9600000000064
6170.7466,101072.09,7.08999999999651
6270.7466,101092.13,27.1300000000047
6370.7466,101085.27,20.2700000000041
6470.7466,101078.45,13.4499999999971
6570.7466,101071.63,6.63000000000466
6670.7466,101064.83,-0.169999999998254
6770.7466,101058.04,-6.9600000000064
6870.7466,101078.13,13.1300000000047
6970.7466,101098.19,33.1900000000023
7070.7466,101091.34,26.3399999999965
7170.7466,101084.49,19.4900000000052
7270.7466,101077.67,12.6699999999983
7370.7466,101070.87,5.86999999999534
7470.7466,101064.07,-0.929999999993015
7570.7466,101057.3,-7.69999999999709
7670.7466,101077.44,12.4400000000023
7770.7466,101097.55,32.5500000000029
7870.7466,101090.7,25.6999999999971
7970.7466,101083.87,18.8699999999953
8070.7466,101077.05,12.0500000000029
8170.7466,101070.26,5.25999999999476
8270.7471,101063.48,-1.52000000000407
8370.7471,101056.71,-8.2899999999936
8470.7471,101076.9,11.8999999999942
8570.7471,101097.05,32.0500000000029
8670.7471,101090.22,25.2200000000012
8770.7471,101083.39,18.3899999999994
8870.7471,101076.59,11.5899999999965
8970.7471,101069.8,4.80000000000291
9070.7471,101063.02,-1.97999999999593
9170.7471,101056.27,-8.72999999999593
9270.7471,101076.5,11.5
9370.7471,101096.7,31.6999999999971
9470.7471,101089.88,24.8800000000047
9570.7471,101083.06,18.0599999999977
9670.7471,101076.27,11.2700000000041
9770.7471,101069.48,4.47999999999593
9870.7471,101062.72,-2.27999999999884
9970.7471,101055.97,-9.02999999999884
10070.747,101076.25,11.25
10170.747,101096.5,31.5
10270.747,101089.67,24.6699999999983
10370.747,101082.87,17.8699999999953
10470.747,101076.08,11.0800000000017
10570.747,101069.3,4.30000000000291
10670.747,101062.55,-2.44999999999709
10770.747,101055.8,-9.19999999999709
10870.747,101076.13,11.1300000000047
10970.747,101096.43,31.429999999993
11070.747,101089.61,24.6100000000006
11170.747,101082.81,17.8099999999977
11270.747,101076.03,11.0299999999988
11370.747,101069.27,4.27000000000407
11470.747,101062.52,-2.47999999999593
11570.747,101055.77,-9.22999999999593
11670.747,101076.15,11.1499999999942
11770.747,101096.49,31.4900000000052
11870.747,101089.68,24.679999999993
11970.747,101082.88,17.8800000000047
12070.747,101076.11,11.1100000000006
12170.747,101069.35,4.35000000000582
12270.747,101062.6,-2.39999999999418
12370.747,101055.88,-9.11999999999534
12470.747,101076.3,11.3000000000029
12570.747,101096.68,31.679999999993
12670.747,101089.88,24.8800000000047
12770.747,101083.09,18.0899999999965
12870.747,101076.31,11.3099999999977
12970.747,101069.56,4.55999999999767
13070.747,101062.82,-2.17999999999302
13170.747,101056.1,-8.89999999999418
13270.747,101076.56,11.5599999999977
13370.747,101096.98,31.9799999999959
13470.747,101090.19,25.1900000000023
13570.747,101083.41,18.4100000000035
13670.747,101076.64,11.6399999999994
13770.747,101069.89,4.88999999999942
13870.747,101063.16,-1.83999999999651
13970.747,101056.45,-8.55000000000291
14070.747,101076.95,11.9499999999971
14170.747,101097.41,32.4100000000035
14270.747,101090.63,25.6300000000047
14370.747,101083.84,18.8399999999965
14470.747,101077.09,12.0899999999965
14570.747,101070.34,5.33999999999651
14670.747,101063.61,-1.38999999999942
14770.747,101056.9,-8.10000000000582
14870.747,101077.45,12.4499999999971
14970.747,101097.96,32.9600000000064
15070.747,101091.17,26.1699999999983
15170.747,101084.4,19.3999999999942
15270.747,101077.64,12.6399999999994
15370.747,101070.9,5.89999999999418
15470.747,101064.18,-0.820000000006985
15570.747,101057.47,-7.52999999999884
15670.747,101078.05,13.0500000000029
15770.747,101098.61,33.6100000000006
15870.747,101091.83,26.8300000000017
15970.747,101085.05,20.0500000000029
16070.747,101078.3,13.3000000000029
16170.747,101071.57,6.57000000000698
16270.747,101064.85,-0.149999999994179
16370.747,101058.14,-6.86000000000058
16470.746,101078.77,13.7700000000041
16570.746,101099.37,34.3699999999953
16670.746,101092.59,27.5899999999965
16770.746,101085.82,20.820000000007
16870.746,101079.08,14.0800000000017
16970.746,101072.34,7.33999999999651
17070.746,101065.63,0.630000000004657
17170.746,101058.92,-6.08000000000175
17270.746,101052.23,-12.7700000000041
17370.746,101072.93,7.92999999999302
17470.746,101093.59,28.5899999999965
17570.746,101086.82,21.820000000007
17670.746,101080.08,15.0800000000017
17770.746,101073.34,8.33999999999651
17870.746,101066.63,1.63000000000466
17970.746,101059.93,-5.07000000000698
18070.746,101053.25,-11.75
18170.746,101073.98,8.97999999999593
18270.746,101094.67,29.6699999999983
18370.746,101087.91,22.9100000000035
18470.746,101081.17,16.1699999999983
18570.746,101074.44,9.44000000000233
18670.746,101067.73,2.72999999999593
18770.746,101061.03,-3.97000000000116
18870.746,101054.35,-10.6499999999942
18970.746,101075.13,10.1300000000047
19070.746,101095.86,30.8600000000006
19170.746,101089.09,24.0899999999965
19270.746,101082.35,17.3500000000058
19370.746,101075.63,10.6300000000047
19470.746,101068.91,3.91000000000349
19570.746,101062.23,-2.77000000000407
19670.746,101055.55,-9.44999999999709
19770.746,101076.35,11.3500000000058
19870.746,101097.13,32.1300000000047
19970.746,101090.37,25.3699999999953
20070.746,101083.63,18.6300000000047
20170.746,101076.91,11.9100000000035
20270.746,101070.2,5.19999999999709
20370.746,101063.5,-1.5
20470.746,101056.82,-8.17999999999302
20570.746,101077.67,12.6699999999983
20670.746,101098.48,33.4799999999959
20770.746,101091.73,26.7299999999959
20870.746,101084.98,19.9799999999959
20970.746,101078.26,13.2599999999948
21070.746,101071.55,6.55000000000291
21170.746,101064.86,-0.139999999999418
21270.746,101058.19,-6.80999999999767
21370.746,101079.07,14.070000000007
21470.746,101099.92,34.9199999999983
21570.746,101093.16,28.1600000000035
21670.746,101086.42,21.4199999999983
21770.746,101079.7,14.6999999999971
21870.746,101072.99,7.99000000000524
21970.746,101066.3,1.30000000000291
22070.746,101059.63,-5.36999999999534
22170.746,101052.97,-12.0299999999988
22270.746,101073.91,8.91000000000349
22370.746,101094.81,29.8099999999977
22470.746,101088.07,23.070000000007
22570.746,101081.34,16.3399999999965
22670.746,101074.64,9.63999999999942
22770.746,101067.95,2.94999999999709
22870.746,101061.27,-3.72999999999593
22970.746,101054.61,-10.3899999999994
23070.746,101075.59,10.5899999999965
23170.746,101096.53,31.5299999999988
23270.746,101089.79,24.7899999999936
23370.746,101083.07,18.070000000007
23470.746,101076.36,11.3600000000006
23570.746,101069.66,4.66000000000349
23670.746,101062.99,-2.00999999999476
23770.746,101056.33,-8.66999999999825
23870.746,101077.34,12.3399999999965
23970.746,101098.32,33.320000000007
24070.746,101091.58,26.5800000000017
24170.746,101084.85,19.8500000000058
24270.746,101078.15,13.1499999999942
24370.746,101071.45,6.44999999999709
24470.746,101064.77,-0.229999999995925
24570.746,101058.12,-6.88000000000466
24670.746,101079.16,14.1600000000035
24770.746,101100.17,35.1699999999983
24870.746,101093.43,28.429999999993
24970.746,101086.71,21.7100000000064
25070.746,101080,15
25170.746,101073.3,8.30000000000291
25270.746,101066.63,1.63000000000466
25370.746,101059.96,-5.0399999999936
25470.746,101053.32,-11.679999999993
25570.746,101074.42,9.41999999999825
25670.746,101095.48,30.4799999999959
25770.746,101088.76,23.7599999999948
25870.746,101082.05,17.0500000000029
25970.746,101075.35,10.3500000000058
26070.746,101068.67,3.66999999999825
26170.746,101062.01,-2.99000000000524
26270.746,101055.36,-9.63999999999942
26370.746,101076.49,11.4900000000052
26470.746,101097.59,32.5899999999965
26570.746,101090.87,25.8699999999953
26670.746,101084.15,19.1499999999942
26770.746,101077.45,12.4499999999971
26870.746,101070.77,5.77000000000407
26970.746,101064.11,-0.889999999999418
27070.746,101057.45,-7.55000000000291
27170.746,101078.63,13.6300000000047
27270.746,101099.76,34.7599999999948
27370.746,101093.02,28.0200000000041
27470.746,101086.31,21.3099999999977
27570.746,101079.61,14.6100000000006
27670.746,101072.93,7.92999999999302
27770.746,101066.26,1.25999999999476
27870.746,101059.61,-5.38999999999942
27970.746,101052.97,-12.0299999999988
28070.746,101074.2,9.19999999999709
28170.746,101095.38,30.3800000000047
28270.746,101088.66,23.6600000000035
28370.746,101081.95,16.9499999999971
28470.746,101075.27,10.2700000000041
28570.746,101068.59,3.58999999999651
28670.746,101061.94,-3.05999999999767
28770.746,101055.3,-9.69999999999709
28870.746,101076.55,11.5500000000029
28970.746,101097.77,32.7700000000041
29070.746,101091.05,26.0500000000029
29170.746,101084.34,19.3399999999965
29270.746,101077.66,12.6600000000035
29370.746,101070.98,5.97999999999593
29470.746,101064.32,-0.679999999993015
29570.746,101057.68,-7.32000000000698
29670.746,101078.97,13.9700000000012
29770.746,101100.21,35.2100000000064
29870.746,101093.48,28.4799999999959
29970.746,101086.78,21.7799999999988
30070.746,101080.09,15.0899999999965
30170.746,101073.41,8.41000000000349
30270.746,101066.74,1.74000000000524
30370.746,101060.1,-4.89999999999418
30470.746,101053.47,-11.5299999999988
30570.746,101074.8,9.80000000000291
30670.746,101096.1,31.1000000000058
30770.746,101089.39,24.3899999999994
30870.746,101082.7,17.6999999999971
30970.746,101076.01,11.0099999999948
31070.746,101069.34,4.33999999999651
31170.746,101062.7,-2.30000000000291
31270.746,101056.06,-8.94000000000233
31370.746,101077.43,12.429999999993
31470.746,101098.76,33.7599999999948
31570.746,101092.04,27.0399999999936
31670.746,101085.34,20.3399999999965
31770.746,101078.65,13.6499999999942
31870.746,101071.98,6.97999999999593
31970.746,101065.33,0.330000000001746
32070.746,101058.69,-6.30999999999767
32170.746,101052.07,-12.929999999993
32270.746,101073.48,8.47999999999593
32370.746,101094.86,29.8600000000006
32470.746,101088.16,23.1600000000035
32570.746,101081.46,16.4600000000064
32670.746,101074.79,9.7899999999936
32770.746,101068.13,3.13000000000466
32870.746,101061.48,-3.52000000000407
32970.746,101054.86,-10.1399999999994
33070.746,101076.3,11.3000000000029
33170.746,101097.71,32.7100000000064
33270.746,101091,26
33370.746,101084.3,19.3000000000029
33470.746,101077.63,12.6300000000047
33570.746,101070.96,5.9600000000064
33670.746,101064.31,-0.690000000002328
33770.746,101057.68,-7.32000000000698
33870.746,101079.16,14.1600000000035
33970.746,101100.59,35.5899999999965
34070.746,101093.88,28.8800000000047
34170.746,101087.17,22.1699999999983
34270.746,101080.49,15.4900000000052
34370.746,101073.82,8.82000000000698
34470.746,101067.16,2.16000000000349
34570.746,101060.53,-4.47000000000116
34670.746,101053.91,-11.0899999999965
34770.746,101075.43,10.429999999993
34870.746,101096.91,31.9100000000035
34970.746,101090.21,25.2100000000064
35070.746,101083.52,18.5200000000041
35170.746,101076.84,11.8399999999965
35270.746,101070.18,5.17999999999302
35370.746,101063.54,-1.4600000000064
35470.746,101056.91,-8.08999999999651
35570.746,101078.46,13.4600000000064
35670.746,101099.98,34.9799999999959
35770.746,101093.27,28.2700000000041
35870.746,101086.56,21.5599999999977
35970.746,101079.88,14.8800000000047
36070.746,101073.22,8.22000000000116
36170.746,101066.57,1.57000000000698
36270.746,101059.94,-5.05999999999767
36370.746,101053.32,-11.679999999993
36470.746,101074.92,9.91999999999825
36570.746,101096.48,31.4799999999959
36670.746,101089.77,24.7700000000041
36770.746,101083.09,18.0899999999965
36870.746,101076.41,11.4100000000035
36970.746,101069.76,4.75999999999476
37070.746,101063.12,-1.88000000000466
37170.746,101056.49,-8.50999999999476
37270.746,101078.13,13.1300000000047
37370.746,101099.7,34.6999999999971
37470.746,101092.99,27.9900000000052
37570.746,101086.3,21.3000000000029
37670.746,101079.63,14.6300000000047
37770.746,101072.96,7.9600000000064
37870.746,101066.31,1.30999999999767
37970.746,101059.69,-5.30999999999767
38070.746,101053.07,-11.929999999993
38170.746,101074.74,9.74000000000524
38270.746,101096.37,31.3699999999953
38370.746,101089.67,24.6699999999983
38470.746,101082.98,17.9799999999959
38570.746,101076.31,11.3099999999977
38670.746,101069.66,4.66000000000349
38770.746,101063.02,-1.97999999999593
38870.746,101056.41,-8.58999999999651
38970.746,101078.1,13.1000000000058
39070.746,101099.76,34.7599999999948
39170.746,101093.05,28.0500000000029
39270.746,101086.35,21.3500000000058
39370.746,101079.68,14.679999999993
39470.746,101073.02,8.02000000000407
39570.746,101066.38,1.38000000000466
39670.746,101059.75,-5.25
39770.746,101053.13,-11.8699999999953
39870.746,101074.88,9.88000000000466
39970.746,101096.57,31.570000000007
40070.746,101089.88,24.8800000000047
40170.746,101083.19,18.1900000000023
40270.746,101076.52,11.5200000000041
40370.746,101069.87,4.86999999999534
40470.746,101063.23,-1.77000000000407
40570.746,101056.62,-8.38000000000466
40670.746,101078.38,13.3800000000047
40770.746,101100.1,35.1000000000058
40870.746,101093.4,28.3999999999942
40970.746,101086.7,21.6999999999971
41070.746,101080.03,15.0299999999988
41170.746,101073.37,8.36999999999534
41270.746,101066.73,1.72999999999593
41370.746,101060.09,-4.91000000000349
41470.746,101053.48,-11.5200000000041
41570.746,101075.3,10.3000000000029
41670.746,101097.06,32.0599999999977
41770.746,101090.36,25.3600000000006
41870.746,101083.68,18.679999999993
41970.746,101077.01,12.0099999999948
42070.746,101070.36,5.36000000000058
42170.746,101063.72,-1.27999999999884
42270.746,101057.1,-7.89999999999418
42370.746,101078.94,13.9400000000023
42470.746,101100.73,35.7299999999959
42570.746,101094.02,29.0200000000041
42670.746,101087.33,22.3300000000017
42770.746,101080.65,15.6499999999942
42870.746,101073.98,8.97999999999593
42970.746,101067.34,2.33999999999651
43070.746,101060.72,-4.27999999999884
43170.746,101054.1,-10.8999999999942
43270.746,101075.98,10.9799999999959
43370.746,101097.81,32.8099999999977
43470.746,101091.11,26.1100000000006
43570.746,101084.42,19.4199999999983
43670.746,101077.76,12.7599999999948
43770.746,101071.1,6.10000000000582
43870.746,101064.47,-0.529999999998836
43970.746,101057.84,-7.16000000000349
44070.746,101079.74,14.7400000000052
44170.746,101101.6,36.6000000000058
44270.746,101094.89,29.8899999999994
44370.746,101088.2,23.1999999999971
44470.746,101081.52,16.5200000000041
44570.746,101074.86,9.86000000000058
44670.746,101068.21,3.2100000000064
44770.746,101061.58,-3.41999999999825
44870.746,101054.97,-10.0299999999988
44970.746,101076.91,11.9100000000035
45070.746,101098.8,33.8000000000029
45170.746,101092.1,27.1000000000058
45270.746,101085.41,20.4100000000035
45370.746,101078.74,13.7400000000052
45470.746,101072.09,7.08999999999651
45570.746,101065.45,0.44999999999709
45670.746,101058.83,-6.16999999999825
45770.746,101052.22,-12.7799999999988
45870.746,101074.2,9.19999999999709
45970.746,101096.14,31.1399999999994
46070.746,101089.44,24.4400000000023
46170.746,101082.76,17.7599999999948
46270.746,101076.09,11.0899999999965
46370.746,101069.45,4.44999999999709
46470.746,101062.81,-2.19000000000233
46570.746,101056.2,-8.80000000000291
46670.746,101078.2,13.1999999999971
46770.746,101100.16,35.1600000000035
46870.746,101093.45,28.4499999999971
46970.746,101086.76,21.7599999999948
47070.746,101080.09,15.0899999999965
47170.746,101073.43,8.42999999999302
47270.746,101066.79,1.7899999999936
47370.746,101060.16,-4.83999999999651
47470.746,101053.55,-11.4499999999971
47570.746,101075.59,10.5899999999965
47670.746,101097.59,32.5899999999965
47770.746,101090.89,25.8899999999994
47870.746,101084.2,19.1999999999971
47970.746,101077.54,12.5399999999936
48070.746,101070.88,5.88000000000466
48170.746,101064.25,-0.75
48270.746,101057.63,-7.36999999999534
48370.746,101079.7,14.6999999999971
48470.746,101101.71,36.7100000000064
48570.746,101095,30
48670.746,101088.3,23.3000000000029
48770.746,101081.63,16.6300000000047
48870.746,101074.96,9.9600000000064
48970.746,101068.32,3.32000000000698
49070.746,101061.69,-3.30999999999767
49170.746,101055.08,-9.91999999999825
49270.746,101077.18,12.179999999993
49370.746,101099.23,34.2299999999959
49470.746,101092.53,27.5299999999988
49570.746,101085.84,20.8399999999965
49670.746,101079.16,14.1600000000035
49770.746,101072.51,7.50999999999476
49870.746,101065.87,0.869999999995343
49970.746,101059.24,-5.75999999999476
50070.746,101052.64,-12.3600000000006
50170.746,101074.77,9.77000000000407
50270.746,101096.88,31.8800000000047
50370.746,101090.17,25.1699999999983
50470.746,101083.48,18.4799999999959
50570.746,101076.82,11.820000000007
50670.746,101070.17,5.16999999999825
50770.746,101063.53,-1.47000000000116
50870.746,101056.91,-8.08999999999651
50970.746,101079.08,14.0800000000017
51070.746,101101.19,36.1900000000023
51170.746,101094.48,29.4799999999959
51270.746,101087.78,22.7799999999988
51370.746,101081.1,16.1000000000058
51470.746,101074.45,9.44999999999709
51570.746,101067.8,2.80000000000291
51670.746,101061.16,-3.83999999999651
51770.746,101054.55,-10.4499999999971
51870.746,101076.75,11.75
51970.746,101098.9,33.8999999999942
52070.746,101092.2,27.1999999999971
52170.746,101085.51,20.5099999999948
52270.746,101078.84,13.8399999999965
52370.746,101072.17,7.16999999999825
52470.746,101065.53,0.529999999998836
52570.746,101058.91,-6.08999999999651
52670.746,101052.3,-12.6999999999971
52770.746,101074.53,9.52999999999884
52870.746,101096.72,31.7200000000012
52970.746,101090.02,25.0200000000041
53070.746,101083.34,18.3399999999965
53170.746,101076.66,11.6600000000035
53270.746,101070.02,5.02000000000407
53370.746,101063.38,-1.61999999999534
53470.746,101056.76,-8.24000000000524
53570.746,101079.01,14.0099999999948
53670.746,101101.22,36.2200000000012
53770.746,101094.5,29.5
53870.746,101087.8,22.8000000000029
53970.746,101081.13,16.1300000000047
54070.746,101074.46,9.4600000000064
54170.746,101067.81,2.80999999999767
54270.746,101061.18,-3.82000000000698
54370.746,101054.57,-10.429999999993
54470.746,101076.85,11.8500000000058
54570.746,101099.09,34.0899999999965
54670.746,101092.39,27.3899999999994
54770.746,101085.7,20.6999999999971
54870.746,101079.02,14.0200000000041
54970.746,101072.36,7.36000000000058
55070.746,101065.72,0.720000000001164
55170.746,101059.09,-5.91000000000349
55270.746,101052.48,-12.5200000000041
55370.746,101074.8,9.80000000000291
55470.746,101097.08,32.0800000000017
55570.746,101090.38,25.3800000000047
55670.746,101083.69,18.6900000000023
55770.746,101077.02,12.0200000000041
55870.746,101070.36,5.36000000000058
55970.746,101063.72,-1.27999999999884
56070.746,101057.09,-7.91000000000349
56170.746,101079.44,14.4400000000023
56270.746,101101.73,36.7299999999959
56370.746,101095.02,30.0200000000041
56470.746,101088.31,23.3099999999977
56570.746,101081.63,16.6300000000047
56670.746,101074.96,9.9600000000064
56770.746,101068.3,3.30000000000291
