Scenario,VR,O2,N2,H2O,Ar,VI
(C1),2348,7.87,29.2,0.18,62.7,2400
(C2),4750,2.93,0.9,0.070,86.1,4800
(C3),5951,1.77,6.58,0.044,91.6,6000
(C4),7151,1.06,3.95,0.029,95.0,7200
(D1),2300,7.79,28.9,0.094,63.2,2400
(D2),4703,2.82,10.5,0.039,86.6,4800
(D3),5904,1.67,6.20,0.026,92.1,6000
(D4),7105,0.96,3.60,0.018,95.4,7200
(D5),2302,7.54,28.0,0.051,64.4,2400
(D6),4681,2.68,9.97,0.024,87.3,4800
(D7),5906,1.53,5.67,0.017,92.8,6000
(D8),7061,0.87,3.26,0.013,95.9,7200
(D9),2208,7.59,28.2,0.032,64.2,2400
(D10),4612,2.60,9.65,0.017,87.7,4800
(D11),5813,1.45,5.39,0.013,93.2,6000
(D12),7018,0.77,2.95,0.011,96.3,7200
(D13),2163,7.49,27.8,0.022,64.7,2400
(D14),4566,2.48,9.22,0.014,88.3,4800
(D15),5768,1.34,4.97,0.012,93.7,6000
(D16),6977,0.69,2.67,0.010,96.6,7200